,0
ZKBVR,8acae2c465a51c3b01672b4d7dd02796
ZPY,4028e4a240f2ef470141165ee57503fa
ZRY,4028e4a240f2ef4c014101b981ab0127
ZTB,402821814bf524d5014d338f92f50d61
ABO,8acae2c469cee2a4016ad972e7f11276
"ADANA, ADBGR, ADNAC",4028e4a240e8d16e0140e8ef43e10025
ADGYO,8acae2c586d22c53018a737800f804ae
AEFES,4028e4a140e95bea0140ed2fde10009d
AGROT,8acae2c48b2fa259018bb9e449415e84
AHGAZ,4028e4a14203278a0142095715f914d0
AKBNK,4028e4a240e8d1830140e905edcd0006
AKCNS,4028e4a140e8cfa00140e92b0c380016
AKFEN,4028e4a240f2ef4701410c96b66101f9
AKFYE,8acae2c48304fe9e0186a66e7a9568ea
AKGRT,4028e4a140e95be70140ed12e1f4002c
AKSA,4028e4a240f2ef470141175e189f0453
AKSEN,4028e4a241733d42014179341a147ddb
AKSGY,4028e4a14158e41f01415a865c0e4d13
"ALBRK, ALK",4028e4a240f2ef4c014106a1c5ef016d
ALFAS,8acae2c5830502c30183559e2336223e
ANACM,4028e4a140e95be70140ed27d6fd0070
ANHYT,4028e4a140e95be70140ed40cb930098
ANSGR,4028e4a140e95bea0140ed21b5c10078
ARASE,8acae2c47afb298b017ccb97632144e5
ARCLK,4028e4a240e95dc90140ed55b43900cf
ARDYZ,8acae2c46d7599a6016dde9d93aa2b52
ASCEL,4028e4a240e95dc90140edd3ee1b010e
ASELS,4028e4a1413b7ef401413bc2251e0047
ASGYO,8acae2c562329bd1016464c3796e08a0
ASLAN,4028e4a140e95bea0140eddc545b0103
ASTOR,8acae2c562329bd10164405fe6c17996
ATAKP,8acae2c586d22c53018953500b004578
ATATP,8acae2c4794d364801798f781baf0fad
AYDEM,8acae2c4782a4d580178b56e7c5c4404
AYGAZ,4028e4a140e95be70140ee03bd6000e0
BASCM,4028e4a140f2ed7201413a4092720892
BASGZ,4028e4a240f2ef4701413a3410a605ce
BFREN,4028e4a140e95bea0140ee30fb6001b9
BIENY,4028e4a24a5df6e7014ba1e60b464173
BIMAS,4028e4a140e95be70140ee1b7b030119
BINHO,8acae2c48b2fa25a018bba0a5034596d
BIOEN,8acae2c4780814e2017826e1e07318d8
BJKAS,4028e4a241a25fcb0141a276cda10189
"BLS, BLSMD",4028e4a2415f4f8401415ffac5a034a9
BOBET,8acae2c4782a4d560178d45481dc5948
BOLUC,4028e4a140e95bea0140ee2de36b01ae
BORLS,8acae2c486d22a3a018b03b5cfbe29b8
BRISA,4028e4a140e95bea0140ee33bff201cd
BRKT,8acae2c4508ff7260151497fffa30e9e
BRSAN,4028e4a140f2ed7201412ac9ca5d06e6
BRYAT,4028e4a1415f4d9b0141603cd3904103
BSKNT,4028e4a2422d9a6e0142fb02488a5dec
BSOKE,4028e4a24158e42401415920fc3308c5
BTCIM,4028e4a140e95be70140ee07044700eb
CANTE,8acae2c578080f31017811f4dca6032d
CCOLA,4028e4a140ee35c00140ee586bdd0034
CLEBI,4028e4a140ee84900140f1f1584c0015
